"Moscow Cinema Theaters, 1946-1955",,,,,,,,
1946,,,,,,,,
Главное управление кинофикации. Кинотеатры союзного подчинения / Glavnoe upravlenie kinofikatsii. Kinoteatry soiuznogo podchineniia,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Новости дня / Novosti dnia,"Moscow, SU",Советский,"55.762386822142076, 37.602169862309225",,,258/22,newsreel,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Октябрь / Oktiabr',"Moscow, SU",Дзержинский,"55.79929647698802, 37.61501275297922",,2,406/30,for children,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Орион / Orion,"Moscow, SU",Сокольнический,"55.795618, 37.708499",,1,767/30,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Перекоп / Perekop,"Moscow, SU",Щербаковский,"55.777151, 37.638043",,1,578,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Открытый кинотеатр (Усачёвский сквер) / Otkrytyĭ kinoteatr (Usachëvskiī skver),"Moscow, SU",Фрунзенский,"55.724584197535705, 37.56102498972425",,3,678,summer cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Открытый кинотеатр в парке им. Воровского / Otkrytyĭ kinoteatr v parke im. Vorovskogo,"Moscow, SU",Тимирязевский,"55.81946149407082, 37.50539195493388",,3,588,summer cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
ПКиО Сокольники / PKiO Sokol'niki,"Moscow, SU",Сокольнический,"55.792565, 37.677725",,1,700,summer cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Победа / Pobeda,"Moscow, SU",Ленинградский,,,1,770,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Призыв / Prizyv,"Moscow, SU",Киевский,"55.717432889661616, 37.4076118136208",,1,376/10,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Родина / Rodina,"Moscow, SU",Сталинский,"55.781570, 37.717869",,1,1270/48,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Сад им. Баумана / Sad im. Baumana,"Moscow, SU",Бауманский,"55.766581, 37.659918",,2,654,summer cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Сад Эрмитаж / Sad Ėrmitazh,"Moscow, SU",Свердловский,"55.77080510877408, 37.60954337553044",,1,413/15,summer cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Салют / Salut,"Moscow, SU",Октябрьский,"55.792065, 37.575222",,1,628/13,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Смена / Smena,"Moscow, SU",Советский,"55.771020990551925, 37.582989154099984",,2,395/35,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Спартак / Spartak,"Moscow, SU",Куйбышевский,"55.76354670647905, 37.6548476160702",,2,355/20,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Стереокино / Stereokino,"Moscow, SU",Свердловский,"55.76037895000343, 37.61916289759364",,,166,stereo cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Таганский / Taganskiĭ,"Moscow, SU",Пролетарский,"55.74038353434052, 37.654197842457705",,1,809/70,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Уран / Uran,"Moscow, SU",Дзержинский,"55.77040452282041, 37.63155372711536",,1,910/78,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Форум / Forum,"Moscow, SU",Дзержинский,"55.773058432602916, 37.62740330442969",,1,1222/63,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Хроника / Khronika,"Moscow, SU",Щербаковский,"55.767124, 37.631820",,,267/35,newsreel,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Художественный / Khudozhestvennyĭ,"Moscow, SU",Киевский,"55.752369, 37.602139",,1,968/50,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Центральный / Tsentral'nyĭ,"Moscow, SU",Свердловский,"55.76592426048217, 37.60529052843362",,1,814/44,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,"Moscow, SU",Ленинский,"55.73154109054722, 37.60327706944183",,1,810,summer cinema,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Шторм / Shtorm,"Moscow, SU",Железнодорожный,"55.78235111103543, 37.67006121362364",,1,658/40,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Экран жизни / Ėkran zhizni,"Moscow, SU",Коминтерновский,"55.77342398078649, 37.611662769437814",,1,569,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Экспресс / Ėkspress,"Moscow, SU",Коминтерновский,"55.77321250837942, 37.620671571295084",,2,237/18,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Эрмитаж / Ėrmitazh,"Moscow, SU",Свердловский,"55.77035848488775, 37.60921074307702",,1,658/36,,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Юный зритель / IUnyĭ zritel',"Moscow, SU",Киевский,"55.74853398105157, 37.588827397745554",,2,340/21,for children,TCGAM. F. 265. Op. 1. D. 19. L. 85-87
Театр киноактера / Teatr kinoaktera,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats ,Comments,Source
Театр киноактера / Teatr kinoaktera,,,,,,,,
Main Venue,"Moscow, SU","Воровского, 31","55.756905640786755, 37.58698523028461",,1,924,,RGALI. F. 2456. Op. 1. D. 2600. L. 26
Blue Venue,"Moscow, SU","Воровского, 31","55.756905640786755, 37.58698523028461",,1,196,,RGALI. F. 2456. Op. 1. D. 2600. L. 26
1950,,,,,,,,
Главное управление кинофикации. Кинотеатры союзного подчинения / Glavnoe upravlenie kinofikatsii. Kinoteatry soiuznogo podchineniia,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Колизей / Kolizeĭ,"Moscow, SU",Чистые пруды 19-а,"55.761781, 37.645941",,1,904,Union Cinema,"The data on cinema's capacity, run and address is based on 1953 report. "
Метрополь / Metropol',"Moscow, SU",Пл. Свердлова 2/4,"55.758448, 37.621669",,1,757,Union Cinema,"The data on cinema's capacity, run and address is based on 1953 report. "
Ударник / Udarnik,"Moscow, SU","ул. Серафимовича, 2","55.744450, 37.613072",,1,1587,Union Cinema,"RGALI. F. 2473. Op. 1. D. 507. L. 6. Tha data on cinema's address is based on Moskovskaia gorodskaia telefonnaia set'. Kratkiĭ telefonnyĭ spravochnik. Moskva : Upr. Mosk. gor. telefonnoy seti, 1955. Tha data on cinema's run is based on 1953 report."
Управление кинофикации Мосгорисполкома / Upravlenie kinofikatsii Mosgorispolkoma,,,,,,,,
Cinema,City,District,Coordinates,,Run,Seats ,Comments,Source
Авангард / Avangard,"Moscow, SU",Ленинский,"55.731779, 37.611473",,1,515,"Data on cinema's run, district and capacity is based on 1949 report",
Аврора / Avrora,"Moscow, SU",Красногвардейский,"55.759157, 37.645708",,3,338,"Data on cinema's run, district and capacity is based on 1949 report",
Аквариум / Akvarium,"Moscow, SU",Советский,"55.76749154922368, 37.59480267864476",,2,732,"summer cinema, Data on cinema's run, district and capacity is based on 1949 report",
Арс / Ars,"Moscow, SU",Киевский,"55.74806146601852, 37.58749976700312",,2,271,"Data on cinema's run, district and capacity is based on 1949 report",
Баррикады / Barrikady,"Moscow, SU",Краснопресненский,"55.76064794396243, 37.579330860186516",,2,455,"Data on cinema's run, district and capacity is based on 1949 report",
Динамо / Dinamo,"Moscow, SU",Ленинградский,"55.79618060753062, 37.555168887144774",,1,560,"Data on cinema's run, district and capacity is based on 1949 report",
Диск / Disk,"Moscow, SU",Щербаковский,"55.809621, 37.634416",,3,216,"Data on cinema's run, district and capacity is based on 1949 report",
Ждановский ПКиО / Zhdanovskiĭ PKiO ,"Moscow, SU",Ждановский,"55.739207, 37.667761",,2,596,"Data on cinema's run, district and capacity is based on 1949 report",
Заря / Zaria,"Moscow, SU",Москворецкий,"55.745524, 37.626412",,3,262,"Data on cinema's run, district and capacity is based on 1949 report",
Измайловский ПКиО имени Сталина / Izmaĭlovskiĭ PKiO imeni Stalina,"Moscow, SU",Сталинский,"55.77299499453838, 37.76126878218039",,2,815,"summer cinema, Data on cinema's run, district and capacity is based on 1949 report",
им. Моссовета / im. Mossoveta,"Moscow, SU","Лужниковская, 27","55.716276142721824, 37.5739001982771",,1,705,Data on cinema's run and location is based on 1953 report,TCGAM. F. 265. Op. 1. D. 21. L. 5.
им. III Интернационала / im. III Internatsionala,"Moscow, SU",Бауманский,"55.77323586956071, 37.67796359405088",,2,455,"Data on cinema's run, district and capacity is based on 1949 report",
Искра / Iskra,"Moscow, SU",Тимирязевский,"55.81168032493068, 37.57701676520979",,3,210,"Data on cinema's run, district and capacity is based on 1949 report",
Кадр / Kadr,"Moscow, SU",Киевский,"55.744520, 37.579277",,3,325,"Data on cinema's run, district and capacity is based on 1949 report",
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,"Moscow, SU",Свердловский,"55.757521, 37.616369",,,151,"Newsreel, on a balance sheet with Stereokino. Data on cinema's run, district and capacity is based on 1949 report",
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,"Moscow, SU",Краснопресненский,"55.757288, 37.599238",,2,480,"Data on cinema's run, district and capacity is based on 1949 report",
Луч / Luch,"Moscow, SU",Сокольнический,"55.791681890731304, 37.68025349659428",,2,419,"Data on cinema's run, district and capacity is based on 1949 report",
"Маяк 2-х зальный / Maiak, 2 venues","Moscow, SU","Дубровский проезд, 4","55.72449012452377, 37.664848882933924",,1,306,"Data on cinema's run, district and capacity is based on 1949 report",
Мир / Mir,"Moscow, SU",Октябрьский,"55.79283816599655, 37.59796976091867",,2,362,"Data on cinema's run, district and capacity is based on 1949 report",
Молот / Molot,"Moscow, SU",Сокольнический,"55.785928, 37.675828",,2,444,"Data on cinema's run, district and capacity is based on 1949 report",
Москва / Moskva,"Moscow, SU","Пл. Маяковского, 1","55.769671725991564, 37.59471331716628",,1,800,"Data on cinema's run is based on 1953 report, while data on location and capacity is based on 1951 report",
Наука и знание / Nauka i znanie,"Moscow, SU",Киевский,"55.752414, 37.599597",,2,323,"Data on cinema's run, district and capacity is based on 1949 report",
Новости дня / Novosti dnia,"Moscow, SU",Советский,"55.762386822142076, 37.602169862309225",,,272,"Newsreel, Data on cinema's run, district and capacity is based on 1949 report",
Октябрь / Oktiabr',"Moscow, SU",Дзержинский,"55.79929647698802, 37.61501275297922",,2,436,"Data on cinema's run, district and capacity is based on 1949 report",
Орион / Orion,"Moscow, SU",Сокольнический,"55.795618, 37.708499",,1,701,"Data on cinema's run, district and capacity is based on 1949 report",
Перекоп / Perekop,"Moscow, SU",Щербаковский,"55.777151, 37.638043",,1,584,"Data on cinema's run, district and capacity is based on 1949 report",
ПКиО Сокольники / PKIO Sokol'niki,"Moscow, SU",Сокольнический,"55.792565, 37.677725",,1,700,"summer cinema, Data on cinema's run, district and capacity is based on 1949 report",
Призыв / Prizyv,"Moscow, SU",Киевский,"55.717432889661616, 37.4076118136208",,1,386,"Data on cinema's run, district and capacity is based on 1949 report",
"Родина 2-х зальный / Rodina, 2 venues","Moscow, SU",Сталинский,"55.781570, 37.717869",,1,1318,"Data on cinema's run, district and capacity is based on 1949 report",
"Салют 2-х зальный / Saliut, 2 venues","Moscow, SU",Октябрьский,"55.792065, 37.575222",,1,655,"Data on cinema's run, district and capacity is based on 1949 report",
Смена / Smena,"Moscow, SU",Советский,"55.771020990551925, 37.582989154099984",,2,430,"Data on cinema's run, district and capacity is based on 1949 report",
Спартак / Spartak,"Moscow, SU",Куйбышевский,"55.76354670647905, 37.6548476160702",,2,376,"Data on cinema's run, district and capacity is based on 1949 report",
Стереокино / Stereokino,"Moscow, SU",Свердловский,"55.76037895000343, 37.61916289759364",,,166,"stereofilms, Data on cinema's run, district and capacity is based on 1949 report",
Таганский / Taganskiĭ,"Moscow, SU",Пролетарский,"55.74038353434052, 37.654197842457705",,1,879,"Data on cinema's run, district and capacity is based on 1949 report",
Театр киноактера / Teatr kinoaktera,"Moscow, SU","ул. Воровского, 31","55.756832, 37.586203",,1,924,"Data on cinema's run, district and capacity is based on 1949 report",
Уран / Uran,"Moscow, SU",Дзержинский,"55.77040452282041, 37.63155372711536",,1,984,"Data on cinema's run, district and capacity is based on 1949 report",
Форум / Forum,"Moscow, SU",Дзержинский,"55.773058432602916, 37.62740330442969",,1,1285,"Data on cinema's run, district and capacity is based on 1949 report",
Хроника / Khronika,"Moscow, SU",Щербаковский,"55.767124, 37.631820",,,296,"newsreels, Data on cinema's run, district and capacity is based on 1949 report",
Художественный / Khudozhestvennyĭ,"Moscow, SU",Киевский,"55.752369, 37.602139",,1,1020,"Data on cinema's run, district and capacity is based on 1949 report",
Центральный / Tsentral'nyĭ,"Moscow, SU",Свердловский,"55.76592426048217, 37.60529052843362",,1,855,"Data on cinema's run, district and capacity is based on 1949 report",
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,"Moscow, SU",Ленинский,"55.73154109054722, 37.60327706944183",,1,757,"summer cinema, Data on cinema's run, district and capacity is based on 1949 report",
Шторм / Shtorm,"Moscow, SU",Железнодорожный,"55.78235111103543, 37.67006121362364",,1,678,"Data on cinema's run, district and capacity is based on 1949 report",
Экран жизни / Ėkran zhizni,"Moscow, SU",Коминтерновский,"55.77342398078649, 37.611662769437814",,1,569,"Data on cinema's run, district and capacity is based on 1949 report",
Экспресс / Ėkspress,"Moscow, SU",Коминтерновский,"55.77321250837942, 37.620671571295084",,2,262,"Data on cinema's run, district and capacity is based on 1949 report",
Эрмитаж / Ėrmitazh,"Moscow, SU",Свердловский,"55.77035848488775, 37.60921074307702",,1,704,"Data on cinema's run, district and capacity is based on 1949 report",
Юный зритель / IUnyĭ zritel',"Moscow, SU",Киевский,"55.74853398105157, 37.588827397745554",,2,361,"Data on cinema's run, district and capacity is based on 1949 report",
1951,,,,,,,,
Главное управление кинофикации. Кинотеатры союзного подчинения / Glavnoe upravlenie kinofikatsii. Kinoteatry soiuznogo podchineniia,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Колизей / Kolizeĭ,"Moscow, SU",Чистые пруды 19-а,"55.761781, 37.645941",,1,904,Union Cinema,"The data on cinema's capacity, run and address is based on 1953 report. "
Метрополь / Metropol',"Moscow, SU",Пл. Свердлова 2/4,"55.758448, 37.621669",,1,757,Union Cinema,"The data on cinema's capacity, run and address is based on 1953 report. "
Ударник / Udarnik,"Moscow, SU","ул. Серафимовича, 2","55.744450, 37.613072",,1,1587,Union Cinema,"The data on cinema's capacity is based on 1950 report. Tha data on cinema's address is based on Moskovskaia gorodskaia telefonnaia set'. Kratkiĭ telefonnyĭ spravochnik. Moskva : Upr. Mosk. gor. telefonnoy seti, 1955. Tha data on cinema's run is based on 1953 report."
Управление кинофикации Мосгорисполкома / Upravlenie kinofikatsii Mosgorispolkoma,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats ,Comments,Source
Авангард / Avangard,"Moscow, SU",Б. Якиманка,"55.731779, 37.611473",,1,515,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Аврора / Avrora,"Moscow, SU","Чернышевского, 16","55.759157, 37.645708",,3,338,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Аквариум / Akvarium,"Moscow, SU","Б. Садовая, 14","55.76749154922368, 37.59480267864476",,2,732,"summer cinema, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 64.
Арс / Ars,"Moscow, SU","Арбат, 51","55.74806146601852, 37.58749976700312",,2,271,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Баррикады / Barrikady,"Moscow, SU","Баррикадная, 21","55.76064794396243, 37.579330860186516",,2,455,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
ВСХВ большой зал / VSKHV bol'shoī zal,"Moscow, SU",Территория ВСХВ,"55.831674872324214, 37.63130193594137",,1,740,"summer cinema, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 64.
ВСХВ малый зал / VSKHV malyī zal,"Moscow, SU",Территория ВСХВ,"55.831674872324214, 37.63130193594137",,2,504,"summer cinema, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 64.
Дзержинский ПКиО / Dzerzhinskiĭ PKiO,"Moscow, SU","Останкинская, 7","55.83032412781143, 37.61469840946716",,2,648,"summer cinema, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 64.
Динамо / Dinamo,"Moscow, SU",Петровский парк,"55.79618060753062, 37.555168887144774",,1,560,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Диск / Disk,"Moscow, SU",Марьинская ул. 23,"55.809621, 37.634416",,3,216,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Ждановский ПКиО / Zhdanovskiĭ PKiO ,"Moscow, SU","Таганская ул., 40/42","55.739207, 37.667761",,2,596,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Заря / Zaria,"Moscow, SU",Пятницкая ул.,"55.745524, 37.626412",,3,262,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
им. Моссовета / im. Mossoveta,"Moscow, SU","Лужниковская, 27","55.716276142721824, 37.5739001982771",,1,705,Data on cinema's run is based on 1953 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
им. III Интернационала / im. III Internatsionala,"Moscow, SU","Спартаковская, 21","55.77323586956071, 37.67796359405088",,2,455,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Искра / Iskra,"Moscow, SU","Дмитровское шоссе, 3/а","55.81168032493068, 37.57701676520979",,3,210,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Кадр / Kadr,"Moscow, SU","Плющиха, 11","55.744520, 37.579277",,3,325,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Кинозал короткометражного фильма / Kinozal korotkometrazhnogo fil'ma,"Moscow, SU","Охотный ряд, 6","55.757521, 37.616369",,,151,"newsreel, on a balance sheet with Stereokino. Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 65.
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,"Moscow, SU","Герцена, 23","55.757288, 37.599238",,2,480,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Красная Пресня / Krasnaia Presnia,"Moscow, SU","Мантулинская, 5","55.75519658574544, 37.557861177072844",,3,185,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Луч / Luch,"Moscow, SU",Сокольнический округ,"55.791681890731304, 37.68025349659428",,2,419,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
"Маяк 2-х зальный / Maiak, 2 venues","Moscow, SU","Дубровский проезд, 4","55.72449012452377, 37.664848882933924",,1,306,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Мир / Mir,"Moscow, SU","Сущевский вал, 15","55.79283816599655, 37.59796976091867",,2,362,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Молот / Molot,"Moscow, SU","Русаковская, 23","55.785928, 37.675828",,2,444,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Москва / Moskva,"Moscow, SU","Пл. Маяковского, 1","55.769671725991564, 37.59471331716628",,1,800,Data on cinema's run is based on 1953 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Наука и знание / Nauka i znanie,"Moscow, SU","Арбат, 2","55.752414, 37.599597",,2,323,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 65.
Новости дня / Novosti dnia,"Moscow, SU","Тверской бульвар, 23","55.762386822142076, 37.602169862309225",,,272,"newsreels, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 65.
Октябрь / Oktiabr',"Moscow, SU","Шереметьевская, 19","55.79929647698802, 37.61501275297922",,2,436,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Орион / Orion,"Moscow, SU","Преображенская пл., 7","55.795618, 37.708499",,1,701,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Открытый кинотеатр (Усачёвский сквер) / Otkrytyĭ kinoteatr (Usachëvskiī skver),"Moscow, SU",Усачёвский сквер,"55.724584197535705, 37.56102498972425",,3,670,"summer cinema, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 64.
Открытый кинотеатр в парке им. Воровского / Otkrytyĭ kinoteatr v parke im. Vorovskogo,"Moscow, SU","Ленинградское шоссе, 244","55.81946149407082, 37.50539195493388",,3,588,"summer cinema, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 64.
Перекоп / Perekop,"Moscow, SU","Грохольский пер., 22","55.777151, 37.638043",,1,584,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
ПКиО Сокольники / PKIO Sokol'niki,"Moscow, SU",Сокольнический круг,"55.792565, 37.677725",,1,700,"summer cinema, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 65.
Призыв / Prizyv,"Moscow, SU",Можайское шоссе 47/51,"55.717432889661616, 37.4076118136208",,1,386,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
"Родина 2-х зальный / Rodina, 2 venues","Moscow, SU",Семеновская пл.,"55.781570, 37.717869",,1,1318,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Сад им. Баумана / Sad im. Baumana,"Moscow, SU","ул. Карла Маркса или Ново-Басманная, 18","55.766581, 37.659918",,2,654,"summer cinema, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 64.
Сад Эрмитаж / Sad Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77080510877408, 37.60954337553044",,1,428,"summer cinema, on a balance sheet with Ėrmitazh, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 64.
"Салют 2-х зальный / Saliut, 2 venues","Moscow, SU","Нижняя Масловка, 1/2","55.792065, 37.575222",,1,655,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Смена / Smena,"Moscow, SU","Б. Грузинская, 51","55.771020990551925, 37.582989154099984",,2,430,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Спартак / Spartak,"Moscow, SU","Чернышевского, 55","55.76354670647905, 37.6548476160702",,2,376,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Стереокино / Stereokino,"Moscow, SU","Пл Свердлова, 1/8","55.76037895000343, 37.61916289759364",,,166,"stereofilms, Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 65.
Таганский / Taganskiĭ,"Moscow, SU",Таганская пл. 12,"55.74038353434052, 37.654197842457705",,1,879,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Театр киноактера / Teatr kinoaktera,"Moscow, SU","ул. Воровского, 31","55.756832, 37.586203",,1,924,Data on cinema's run is based on 1949 report,"Information on cinema's address is based on Moskovskaia gorodskaia telefonnaia set'. Kratkiĭ telefonnyĭ spravochnik. Moskva : Upr. Mosk. gor. telefonnoy seti, 1955."
Уран / Uran,"Moscow, SU","Сретенка,19","55.77040452282041, 37.63155372711536",,1,984,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Форум / Forum,"Moscow, SU","Садово-Сухаревская, 14","55.773058432602916, 37.62740330442969",,1,1285,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Хроника / Khronika,"Moscow, SU","Сретенка, 4","55.767124, 37.631820",,,296,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 65.
Художественный / Khudozhestvennyĭ,"Moscow, SU","Арбатская пл., 14","55.752369, 37.602139",,1,1020,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Центральный / Tsentral'nyĭ,"Moscow, SU","Горького, 18-а","55.76592426048217, 37.60529052843362",,1,855,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
ЦПКиО им. Горького / TSPKiO im. Gor'kogo,"Moscow, SU","Крымский вал, 9","55.73154109054722, 37.60327706944183",,1,757,"summer cinema,Data on cinema's run is based on 1949 report",TCGAM. F. 265. Op. 1. D. 23. L. 65.
Шторм / Shtorm,"Moscow, SU","Русаковская, 1","55.78235111103543, 37.67006121362364",,1,678,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Экран жизни / Ėkran zhizni,"Moscow, SU","Садово-Каретная, 45","55.77342398078649, 37.611662769437814",,1,569,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Экспресс / Ėkspress,"Moscow, SU","Цветной бульвар, 25","55.77321250837942, 37.620671571295084",,2,262,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Эрмитаж / Ėrmitazh,"Moscow, SU","Каретный ряд, 3","55.77035848488775, 37.60921074307702",,1,704,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
Юный зритель / IUnyĭ zritel',"Moscow, SU","Арбат, 39","55.74853398105157, 37.588827397745554",,2,361,Data on cinema's run is based on 1949 report,TCGAM. F. 265. Op. 1. D. 23. L. 64.
1952,,,,,,,,
"In 1952, all union cinemas were transferred to the control of the Upravlenie kinofikatsii Mosgorispolkoma",,,,,,,,
Управление кинофикации Мосгорисполкома / Upravlenie kinofikatsii Mosgorispolkoma,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats ,Comments,Source
Авангард / Avangard,"Moscow, SU",Б. Якиманка,"55.731779, 37.611473",,2,515,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Аврора / Avrora,"Moscow, SU","Чернышевского, 16","55.759157, 37.645708",,3,314,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Арс / Ars,"Moscow, SU","Арбат, 51","55.74806146601852, 37.58749976700312",,2,271,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Аквариум / Akvarium,"Moscow, SU","Б. Садовая, 14","55.76749154922368, 37.59480267864476",,2,732,"summer cinema, This data is based on the 1953 report",
Баррикады / Barrikady,"Moscow, SU","Баррикадная, 21","55.76064794396243, 37.579330860186516",,2,455,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Динамо / Dinamo,"Moscow, SU",Петровский парк,"55.79618060753062, 37.555168887144774",,1,560,This data is based on the 1949 and 1951 reports,TCGAM. F. 265. Op. 1. D. 19. L. 85-87; D. 23. L. 64.
Диск / Disk,"Moscow, SU","Марьинская, 23","55.809621, 37.634416",,3,207,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 57
Ждановский ПКиО / Zhdanovskiĭ PKiO,"Moscow, SU","Таганская ул., 40/42","55.739207, 37.667761",,2,584,This data is based on the 1953 report,TCGAM. F. 265. Op. 1. D. 30. L. 58
