"Moscow Cinema Theaters, 1946-1955",,,,,,,,
1946,,,,,,,,
Главное управление кинофикации. Кинотеатры союзного подчинения / Glavnoe upravlenie kinofikatsii. Kinoteatry soiuznogo podchineniia,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Cinema,City,Location,Coordinates,,Run,Seats,Comments,Source
Колизей / Kolizeĭ,"Moscow, SU",Чистые пруды 19-а,"55.761781, 37.645941",,1,1000,Union Cinema,RGALI. F. 2473. Op. 1. D. 345. L. 12.
Метрополь / Metropol',"Moscow, SU",Пл. Свердлова 2/4,"55.758448, 37.621669",,1,680,Union Cinema,RGALI. F. 2473. Op. 1. D. 345. L. 12.
Ударник / Udarnik,"Moscow, SU","ул. Серафимовича, 2","55.744450, 37.613072",,1,1587,Union Cinema,RGALI. F. 2473. Op. 1. D. 345. L. 12.
Управление кинофикации Мосгорисполкома / Upravlenie kinofikatsii Mosgorispolkoma,,,,,,,,
Cinema,City,Location,Coordinates,,Run,Seats ,Comments,Source
Авангард / Avangard,"Moscow, SU",Б. Якиманка,"55.731779, 37.611473",,1,489,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Аврора / Avrora,"Moscow, SU","ул. Чернышевского, 16","55.759157, 37.645708",,3,338,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Арс / Ars,"Moscow, SU","Арбат, 51","55.74806146601852, 37.58749976700312",,2,254,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Баррикады / Barrikady,"Moscow, SU","Баррикадная, 21","55.76064794396243, 37.579330860186516",,2,441,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Динамо / Dinamo,"Moscow, SU",Ленинградский,"55.79618060753062, 37.555168887144774",,1,553,,
Диск / Disk,"Moscow, SU","Марьинская ул, 23","55.809621, 37.634416",,3,216,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Заря / Zaria,"Moscow, SU",Пятницкая ул. 2,"55.745524, 37.626412",,3,261,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
им. III Интернационала / im. III Internatsionala,"Moscow, SU","Спартаковская, 21","55.77323586956071, 37.67796359405088",,2,428,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Кадр / Kadr,"Moscow, SU","Плющиха, 11","55.744520, 37.579277	",,3,314,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Кинотеатр повторного фильма / Kinoteatr povtornogo fil'ma,"Moscow, SU","ул. Герцена, 23","55.757288, 37.599238	",,2,466,specialized,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Луч / Luch,"Moscow, SU",Сокольнический округ,"55.791681890731304, 37.68025349659428	",,2,401,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Мир / Mir,"Moscow, SU","Сущевский вал, 18","55.792343570876206, 37.60394035824865",,2,351,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Молот / Molot,"Moscow, SU","Русаковская, 23","55.785928, 37.675828	",,2,411,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Москва / Moskva,"Moscow, SU","Пл. Маяковского, 1","55.769671725991564, 37.59471331716628",,1,,,
Наука и знание / Nauka i znanie,"Moscow, SU","Арбат, 2","55.752414, 37.599597	",,2,293,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Новости дня / Novosti dnia,"Moscow, SU",Тверской б. 33,"55.764289709486825, 37.60515729827925",,,280,newsreel,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Октябрь / Oktiabr',"Moscow, SU","Шереметьевская, 19","55.79929647698802, 37.61501275297922	",,2,406,children,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Орион / Orion,"Moscow, SU",Преображенская пл. 7,"55.795618, 37.708499	",,1,707,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Перекоп / Perekop,"Moscow, SU",Грохольский пер. 22,"55.777151, 37.638043	",,1,574,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
ПКиО Сокольники / PKIO Sokol'niki,"Moscow, SU",Сокольнический,"55.792565, 37.677725",,1,,,
Родина / Rodina,"Moscow, SU",Семеновская пл. ,"55.781570, 37.717869	",,1,1231,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Сад Эрмитаж / Sad Ėrmitazh,"Moscow, SU",Свердловский,"55.77080510877408, 37.60954337553044",,1,689,summer cinema,
Салют / Salut,"Moscow, SU","Н. Масловка, 1/2","55.792065, 37.575222	",,1,346,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Смена / Smena,"Moscow, SU","Б. Грузинская, 51","55.771020990551925, 37.582989154099984	",,2,395,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Спартак / Spartak,"Moscow, SU","ул. Чернышевского, 55","55.76354670647905, 37.6548476160702",,2,375,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
Стереокино / Stereokino,"Moscow, SU","пл. Свердлова, 1/8","55.76037895000343, 37.61916289759364",,,180,"stereoscopic, cinema is closed for repairs",
Таганский / Taganskiĭ,"Moscow, SU",Таганская пл. 12,"55.74038353434052, 37.654197842457705",,1,819,,TCGAM. F. 265. Op. 1. D. 14. L. 73.
